codebarre,carrefour
3329770063525,
3021769505626,
3068320110097,
3103220033838,"4,79"
3242272347552,"4,59"
3245412511561,"1,39"
3245413451804,"2,15"
3302740606106,"3,55"
3560070449675,"1,69"
3560071018412,
5038862161503,"2,99"
3023290030585,"2,49"
3021762383306,
3033710019526,"3,25"
3057640385148,"1,79"
3088545004018,
3124480185112,
3165958350014,"2,35"
3179142054589,"1,25"
3223920620128,"2,49"
3245413808196,"1,65"
3265479432005,"10,85"
3270190128519,"1,99"
3307130803004,"3,45"
3422440006416,
3560070823291,"1,95"
3560071006822,"0,95"
3661344795372,"2,25"
7610036002737,
8715035110304,"5,29"
3661344723290,"4,15"
3083680002929,"0,99"
3092718605971,
3175680013231,"2,95"
3497911101129,"1,45"
3560070401826,"1,65"
3560070737048,"1,75"
3560070792368,"3,49"
3560070825493,"1,30"
3760056260076,"1,49"
3760091724632,"2,69"
5449000147417,
7613036278508,
3322680010801,"2,19"
3073781069259,"3,45"
3095751510011,
3175681851832,"2,99"
3178530407327,
3229820181738,"1,85"
3270190212980,"0,74"
3422440006430,
3478820008235,"3,29"
3760020505929,"2,55"
4000539671104,
5400101201712,"1,45"
3229820799650,"2,95"
8000500376409,"3,25"
3019081236250,
3033491325250,"1,95"
3155251205449,"1,99"
3228881010971,"1,59"
3245413922403,"1,15"
3270190136873,"1,49"
3275240312016,"2,15"
3329770060142,"2,79"
3560070837984,"2,79"
3700214610046,"2,49"
5410126004113,"2,09"
8722700139201,"1,89"
3023290035801,"2,35"
3560071235611,
3560071267582,"3,19"
3068111301246,"2,25"
3165957822017,"1,79"
3178530405781,"2,99"
3245412590214,
3252971595857,"3,55"
3256540000704,"3,14"
3502110004239,"2,25"
3523230023139,"4,29"
3560070514847,"1,35"
3599740007266,
3760091726650,"2,69"
4008400811727,
5011013100156,"14,85"
5030765018748,"5,25"
7622400893124,
8712100849084,
5449000286291,
3700278405916,
3023290233702,"2,35"
3155251205548,"2,25"
3165958535015,"2,15"
3168930008996,
3175681085688,"2,99"
3248832967611,"4,69"
3276170011185,"4,99"
3278692111169,"2,35"
3422440006454,
3560070218196,
3664346306638,"4,05"
5410228142218,
8715035130302,
3038350015006,"1,15"
3038359003363,
3056440083995,"1,19"
3179142720200,"4,65"
3220035150007,"1,85"
3227061000023,"11,99"
3228022000298,
3245414104686,"1,35"
3254381048343,
3270190005100,"1,79"
3302740368103,"4,39"
3302740484100,"3,79"
3502110010643,"3,45"
3560070669981,"0,95"
3560070877546,"2,25"
3560071013196,"2,39"
3599740009277,
4012200040263,
5053827157018,"2,99"
7622210722140,
8076802085912,"1,15"
5202390020407,"3,09"
5000112638745,
3046920042932,"2,39"
3229820796550,"3,45"
3273220081013,
3302748427024,"3,45"
3329757003926,
3387390406849,"1,89"
3560070510771,"1,79"
4002359660894,
4008258065013,"5,00"
5050083908729,
7622210771049,"2,99"
8410100020549,
3770016162012,
3045320001587,"3,09"
3159470204634,"1,99"
3179140163818,"0,47"
3184670006627,"2,85"
3265472382000,
3330720237330,"3,59"
3428271940028,
3451790941610,"2,85"
3560070370436,"1,99"
3571492670004,
7613032573867,"4,23"
3302740030932,"3,89"
3560071232719,"1,95"
8000500273296,"7,45"
